name,version,securityscore,avg_cvss,trackers_found,code_high,code_good,code_info,code_warning,manifest_high,manifest_medium,manifest_info,privacyURL,privacy_url_correct,prominantTracking,completeTracking,DPIA,cookies,privacyScore,store,category
"Airmid UK","1511",35,6,2,4,1,3,1,6,,1,"https://systmonline.tpp-uk.com/Clinical/AiHealth/Gbr/PrivacyPolicy.html",true,true,false,false,true,3,"Play","PHR"
"Babylon","4.21.1.39418000",10,6,9,7,1,3,3,18,,1,"http://www.babylonhealth.com/privacy",false,true,true,false,true,3,"Play","NHS Services"
"Becca","1.29.02",5,6,4,5,,1,2,7,1,,"https://breastcancernow.org/privacy-policy",true,true,false,false,true,3,"NHS Apps Library","COVID"
"ConsultantConnect","2.3.2",35,6.3,2,4,1,1,1,7,,1,"https://www.consultantconnect.org.uk/privacy-policy/",true,false,true,false,true,3,"NHS Apps Library","NHS Services"
"COVID Symptom Tracker","0.13",40,5.5,10,3,1,2,2,17,1,,"https://predict.study/covid-privacy-notice/",true,true,true,false,true,4,"Play","COVID"
"Echo","4.20.0",25,5.7,8,4,1,2,2,10,,,"https://www.echo.co.uk/legal#privacy-policy",false,false,false,false,true,1,"NHS Apps Library","NHS Services"
"EMIS Mobile","5.2",50,6.1,3,3,1,2,1,2,,,"https://www.emishealth.com/legal/emis-mobile-privacy-policy/",true,true,false,false,true,3,"Play","PHR"
"Evergreen","15.3.2",55,6.9,1,3,,2,,8,1,,"https://www.evergreen-life.co.uk/terms/website-terms-of-use",false,true,false,false,true,2,"NHS Apps Library","NHS Services"
"HCAnywhere","2.30",60,5.2,0,2,,1,1,,,,"https://healthcareanywhere.co.uk/privacy-policy",true,false,true,false,true,3,"NHS Apps Library","NHS Services"
"Healthera","5.8.1",15,6.1,7,4,1,2,3,37,1,,"https://healthera.co.uk/cookies-privacy/",false,true,true,false,true,3,"NHS Apps Library","NHS Services"
"HealthHelpNow","2.83",10,6,9,6,,2,3,8,,,"http://kent.healthhelpnow.nhs.uk/privacy-policy/",true,true,false,false,true,3,"NHS Apps Library","NHS Services"
"Health","3.16",5,6,9,5,,1,2,11,,1,"https://www.coop.co.uk/privacy-notice",true,false,false,false,true,2,"NHS Apps Library","NHS Services"
"Hospify","1.6.15",10,6.1,7,5,,1,4,9,,,"https://www.hospify.com/privacy",true,false,false,false,true,2,"NHS Apps Library","NHS Services"
"Howz","7.8.2",65,5.8,1,2,1,1,1,6,,,"https://howz.com/pages/howz-privacy-policy",true,true,false,false,true,3,"NHS Apps Library","COVID"
"Medloop","1.5.3",10,6.3,3,7,1,1,2,8,,1,"https://medloop.co/privacy",true,true,false,false,true,3,"NHS Apps Library","NHS Services"
"Miiskin","1.58.0",15,6.2,9,5,,2,1,10,,,"http://miiskin.com/legals/#TERMS",true,false,false,false,true,2,"NHS Apps Library","Cancer"
"myGP","7.1.7",20,5.8,5,4,,1,2,11,1,1,"https://www.mygp.com/privacy-policy/",true,false,false,false,true,2,"NHS Apps Library","NHS Services"
"MyHealthGuide","2.4.4",15,6.2,6,5,,1,1,3,1,1,"https://myhealthguideapp.com/privacy/",true,true,false,false,true,3,"NHS Apps Library","Social Care"
"MyHouseOfMemories","6.06",10,5.9,2,6,,1,2,3,1,,"http://www.liverpoolmuseums.org.uk/about/corporate/policies/data-protection-policy.aspx",false,true,false,false,true,2,"NHS Apps Library","Social Care"
"My Local Pharmacy","2.0.3",20,6.3,4,4,,1,2,6,1,,"http://securepharm.co.uk/content/documentation/rxs-mpa-customer-licence_final_6-january-2014_blms_v-1-4/",false,false,false,false,false,0,"Play","Pharmacy"
"NHS App","1.33.0",10,5.9,1,7,,1,1,4,,1,"https://www.nhs.uk/using-the-nhs/nhs-services/the-nhs-app/privacy/",true,false,false,false,true,2,"NHS Apps Library","NHS Services"
"NHS Friends and Family Test","1.0.3",100,0,0,,,,,,1,,"",false,false,true,false,true,2,"Play","NHS Services"
"NHS Go","2.5",10,6,10,5,1,2,2,21,1,,"https://nhsgo.uk/privacy",true,false,false,false,true,2,"NHS Apps Library","NHS Services"
"NHS Online: 111","Failed",10,6,6,5,1,1,2,,,,,false,true,true,false,true,3,"Play","NHS Services"
"NHS Online","1.2.0",30,6.3,5,4,,1,1,9,1,,"http://assets.webgp.com/legal/applePrivacyPolicy",true,true,false,false,true,3,"NHS Apps Library","NHS Services"
"OWise","1.1.0",10,6.2,4,7,,1,3,2,1,,"http://www.owise.uk/privacy",true,false,false,false,true,2,"NHS Apps Library","Cancer"
"Pando","7.6.0",10,5.5,6,5,1,4,2,3,,1,"https://hellopando.com/privacy-policy/",true,true,true,true,true,5,"NHS Apps Library","NHS Services"
"Patient Access","2.6.1",0,5.9,3,5,1,3,3,6,,,"https://support.patientaccess.com/privacy-policy",true,false,false,false,true,2,"NHS Apps Library","NHS Services"
"Pharmacy2U","4.0.8",0,6.1,3,5,1,1,3,7,1,,"https://www.pharmacy2u.co.uk/privacy.html",true,true,false,false,true,3,"Play","Pharmacy"
"SystmOne eObs","828",5,5.9,2,6,1,2,1,3,,1,"https://www.tpp-uk.com/legal/privacy-policy",true,false,false,false,true,2,"Play","Nursing"
"SystmOne eObs Training","828",5,5.9,2,6,1,2,1,3,,1,"https://www.tpp-uk.com/legal/privacy-policy",true,false,false,false,true,2,"Play","Nursing"
"SystmOnline","11",30,5.7,0,4,,1,1,1,1,1,"https://systmonline.tpp-uk.com/privacy/privacy.html",true,true,true,false,true,4,"Play","PHR"
"ThinkNinja","10.4",75,5.7,2,1,,1,1,4,,,"http://www.healios.org.uk/privacy-policy/",true,true,false,false,true,3,"NHS Apps Library","COVID"
"Untire","3.3.0",10,6.3,3,7,1,1,2,8,2,,"https://www.untire.me/privacy",true,false,false,false,true,3,"NHS Apps Library","Cancer"
"WaitLess","2.1.1",45,6.1,3,3,,1,1,9,1,1,"https://w.e-shrewd.com/Waitless/documents/privacy-policy.html?v=1.1",true,false,false,false,true,2,"NHS Apps Library","NHS Services"
"Yellowcard","21.1.0",30,5.9,3,4,,1,1,4,,,"https://yellowcard.mhra.gov.uk/privacy-policy/",true,true,false,false,true,3,"NHS Apps Library","NHS Services"
